EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
0,13,5,3.037709,3.334497,179,0
15,8,6,0.680866,2.758380,179,0
16,4,6,10.077247,1.316713,178,0
17,6,2,5.904696,2.693370,181,0
21,11,6,2.913136,3.001412,177,0
29,0,2,6.179775,2.492978,178,0
35,1,1,7.531601,2.668539,178,0
41,0,4,8.356742,2.528090,178,0
43,2,5,8.025568,4.651989,176,0
43,1,4,7.408708,3.563904,178,0
43,2,4,7.619382,4.529494,178,0
54,5,0,6.733425,2.279006,181,0
62,13,4,1.815642,2.793296,179,0
65,2,5,9.516243,3.336864,177,0
77,4,6,9.057203,4.254944,177,0
81,2,6,10.245028,3.338068,176,0
92,12,5,0.081776,2.120327,535,0
93,6,6,10.457402,4.207402,179,0
94,9,1,7.039835,2.163462,182,0
97,11,5,2.984551,2.352528,178,0
103,7,6,4.687500,2.222222,180,0
114,12,5,1.544944,3.125000,178,0
115,3,5,9.866573,2.528090,178,0
117,5,0,1.812845,2.624309,181,0
118,0,4,3.036723,4.484463,177,0
122,6,6,4.556564,4.067737,179,0
126,10,2,4.765193,4.160912,181,0
130,3,7,1.112288,3.248588,177,0
139,13,4,4.678771,2.967877,179,0
146,10,7,4.353933,3.230337,178,0
153,2,6,10.928672,2.966102,177,0
159,7,5,1.361732,3.212291,179,0
159,10,5,1.018258,3.054775,178,0
159,1,2,0.680866,2.147346,179,0
159,2,0,0.733240,2.077514,179,0
161,13,2,9.671788,1.588687,179,0
162,0,7,11.150568,2.379261,176,0
167,2,3,9.689246,3.282123,179,0
194,5,4,4.626397,2.758380,179,0
221,8,7,0.052083,1.957465,720,0
244,15,6,0.076844,2.561475,488,0
252,6,7,1.334270,2.773876,178,0
257,4,3,3.680556,1.788194,180,0
259,6,7,11.592179,3.823324,179,0
270,1,5,1.669034,2.698864,176,0
286,4,6,4.254944,2.401130,177,0
290,2,5,6.408898,1.500706,177,0
295,6,7,12.271770,2.598315,178,0
299,3,2,12.100694,2.604167,180,0
308,14,3,6.128472,2.534722,180,0
308,5,2,5.923764,1.596841,182,0
318,0,7,11.910714,2.821429,175,0
320,3,4,12.325419,2.007682,179,0
337,14,7,10.617898,2.272727,176,0
338,0,2,3.511236,3.388343,178,0
339,9,3,7.586806,1.892361,180,0
342,11,6,0.953390,2.930791,177,0
342,12,2,0.954861,3.263889,180,0
342,5,1,0.483425,1.640193,181,0
342,8,0,0.549451,1.802885,182,0
344,13,5,6.109551,1.948736,178,0
344,13,3,0.069083,1.609233,769,0
346,3,3,11.770833,2.604167,180,0
349,15,3,12.326389,2.638889,180,0
353,8,7,9.759078,2.863128,179,0
360,14,6,6.653792,2.598315,178,0
364,0,7,6.090199,2.219460,176,0
364,1,6,6.642857,3.696429,175,0
364,12,6,6.460674,3.599017,178,0
368,11,7,11.587079,4.160815,178,0
368,12,7,0.781250,31.575521,48,0
369,15,7,8.132102,3.533381,176,0
376,1,3,1.860955,2.738764,178,0
390,10,1,0.083705,3.145926,448,0
404,9,6,5.091292,1.667837,178,0
405,10,3,6.128472,3.159722,180,0
408,12,6,4.213483,2.194522,178,0
422,6,6,12.187500,2.222222,180,0
435,0,0,2.106742,3.950140,178,0
436,0,2,6.601124,2.914326,178,0
438,6,5,5.021067,2.668539,178,0
438,7,5,5.815972,4.791667,180,0
444,7,4,10.868056,2.986111,180,0
455,12,5,4.399441,5.237430,179,0
455,13,5,4.547051,4.231039,178,0
455,12,4,0.055533,1.772011,619,0
458,5,6,1.369382,2.054073,178,0
461,6,7,2.194522,3.160112,178,0
466,0,6,0.061275,2.026772,663,0
469,7,3,4.409722,2.031250,180,0
472,11,6,2.352528,2.563202,178,0
472,3,2,2.604167,2.777778,180,0
473,6,1,3.863324,2.472527,182,0
480,4,7,10.769774,2.507062,177,0
480,7,7,10.867275,2.844101,178,0
480,4,2,10.704420,2.520718,181,0
481,12,2,0.815972,4.861111,180,0
482,8,4,3.369413,3.474162,179,0
503,4,7,3.584040,2.754237,177,0
507,0,5,5.031780,2.471751,177,0
508,9,5,0.733240,2.828212,179,0
518,7,4,11.243017,2.967877,179,0
523,10,6,11.888966,3.107542,179,0
532,8,6,5.080307,2.112430,179,0
535,8,4,7.152778,5.034722,180,0
540,4,7,8.298023,2.930791,177,0
552,10,3,11.006944,2.031250,180,0
555,2,6,9.074859,3.689972,177,0
555,1,4,8.795646,2.387640,178,0
567,2,7,7.309322,2.100989,177,0
583,11,2,6.770833,1.440972,180,0
588,3,7,6.479520,2.930791,177,0
594,5,6,11.148174,2.879213,178,0
594,5,4,11.006944,2.534722,180,0
602,10,7,8.659218,3.962989,179,0
618,4,1,5.835635,2.020028,181,0
622,8,1,0.932320,1.778315,181,0
626,7,7,11.130618,3.879916,178,0
630,9,5,1.396648,2.828212,179,0
654,7,3,3.125000,3.906250,180,0
668,7,5,5.295139,4.479167,180,0
668,7,4,4.416899,2.234637,179,0
675,0,7,5.983665,4.865057,176,0
675,2,5,5.561441,3.795904,177,0
678,7,7,4.248596,3.423455,178,0
681,11,6,6.074438,2.703652,178,0
683,0,5,11.793785,3.036723,177,0
684,8,7,1.117318,2.828212,179,0
706,9,4,5.659722,1.545139,180,0
711,4,6,3.515625,2.663352,176,0
718,5,6,10.007022,2.949438,178,0
718,6,6,10.003492,2.967877,179,0
718,7,6,10.806564,4.853352,179,0
718,5,5,10.562151,5.918296,179,0
718,6,5,10.428371,4.020365,178,0
718,7,5,10.086806,2.430556,180,0
718,4,2,10.324586,4.299033,181,0
718,9,1,10.738950,4.350829,181,0
727,14,7,2.895480,2.718927,177,0
737,8,5,7.786313,3.578911,179,0
739,6,7,9.445225,2.212079,178,0
747,7,6,11.736111,4.253472,180,0
748,0,0,2.112430,1.833101,179,0
758,4,6,0.388418,2.648305,177,0
759,0,1,0.263554,10.052711,166,0
765,8,6,8.065642,1.937849,179,0
765,9,6,8.659218,3.247207,179,0
775,0,5,8.633475,2.966102,177,0
782,4,2,7.280220,4.241071,182,0
795,1,6,7.208807,4.616477,176,0
798,3,7,0.370763,2.401130,177,0
801,9,2,10.031077,2.900552,181,0
808,7,6,6.930866,3.683659,179,0
817,8,4,6.023045,2.147346,179,0
829,11,7,9.339888,1.878511,178,0
832,6,7,2.426676,3.788408,179,0
842,11,3,0.076531,3.118622,490,0
853,13,7,9.039548,2.542373,177,0
858,5,7,12.076271,2.577684,177,0
862,1,3,1.745810,2.304469,179,0
863,3,7,5.985169,2.171610,177,0
884,8,7,3.404330,3.578911,179,0
886,12,7,8.497191,3.704354,178,0
895,4,3,9.982639,1.892361,180,0
906,13,5,9.741620,2.042598,179,0
909,14,4,7.873603,1.902933,179,0
910,4,7,2.485795,3.302557,176,0
919,7,6,7.629190,3.543994,179,0
932,11,6,1.959746,2.683616,177,0
946,4,7,9.410311,3.213277,177,0
946,4,6,0.175234,11.244159,214,0
958,0,7,10.053571,2.678571,175,0
960,4,3,1.250000,1.788194,180,0
961,5,4,9.968575,2.828212,179,0
966,9,6,7.960894,1.623603,179,0
975,1,4,1.129944,3.619350,177,0
977,1,7,6.640625,3.018466,176,0
981,6,6,0.803073,3.107542,179,0
982,0,7,0.803571,3.071429,175,0
985,8,1,0.621547,3.504834,181,0
985,5,0,0.742403,4.022790,181,0
1001,14,6,0.041118,1.243832,912,0
1001,9,2,9.116022,2.054558,181,0
1008,5,0,9.616713,2.796961,181,0
1012,1,7,4.900568,2.272727,176,0
1022,3,2,11.006944,2.187500,180,0
1024,7,4,12.377793,1.937849,179,0
1035,7,0,4.292582,1.974588,182,0
1039,11,7,4.318820,1.492275,178,0
1043,9,7,2.528090,2.282303,178,0
1052,3,7,7.031250,4.172585,176,0
1055,8,5,9.756944,2.604167,180,0
1060,12,4,6.983240,1.763268,179,0
1067,0,6,9.589286,1.982143,175,0
1069,5,5,2.071629,3.844803,178,0
1070,3,3,0.381944,4.045139,180,0
1083,13,2,7.865169,2.457865,178,0
1094,15,3,2.374302,3.247207,179,0
1145,8,1,7.623626,1.905907,182,0
1164,6,5,8.988764,2.808989,178,0
1167,6,5,6.109551,3.089888,178,0
1170,3,4,1.615169,2.457865,178,0
1174,11,6,3.247893,3.300562,178,0
1177,14,7,5.243644,2.648305,177,0
1189,5,2,5.460165,2.506868,182,0
1195,14,3,9.759078,2.583799,179,0
1197,14,1,10.744382,3.019663,178,0
1197,15,1,10.568820,1.948736,178,0
1198,6,5,9.706704,7.018156,179,0
1201,4,4,6.320225,2.457865,178,0
1202,14,6,7.338483,3.739466,178,0
1202,14,5,7.654494,4.950843,178,0
1202,15,5,7.461376,3.809691,178,0
1206,5,7,5.038624,2.949438,178,0
1222,2,5,7.326977,2.754237,177,0
1228,11,4,4.826389,1.718750,180,0
1228,15,4,5.442416,3.704354,178,0
1230,12,5,11.731844,2.234637,179,0
1234,9,7,8.519553,4.032821,179,0
1234,10,7,7.759831,1.808287,178,0
1234,11,7,8.058287,2.352528,178,0
1234,14,7,8.103814,1.747881,177,0
1234,5,4,8.624302,4.434358,179,0
1238,8,5,1.326816,3.858240,179,0
1238,8,4,1.597222,4.357639,180,0
1245,9,4,4.905726,1.449022,179,0
1251,12,5,5.080307,1.763268,179,0
1266,10,5,10.457402,3.648743,179,0
1269,6,6,10.416667,2.065972,180,0
1269,5,5,11.068436,3.282123,179,0
1270,9,7,4.993017,3.142458,179,0
1290,10,5,7.751397,2.182263,179,0
1296,5,3,3.541667,0.590278,180,0
1301,1,0,4.002809,2.598315,178,0
1301,3,0,3.871528,2.465278,180,0
1308,13,6,7.040028,2.457865,178,0
1327,6,7,4.757725,4.459270,178,0
1328,11,7,1.193820,3.054775,178,0
1334,5,5,10.129916,3.265449,178,0
1334,3,4,10.055866,3.107542,179,0
1334,2,0,9.565972,1.857639,180,0
1346,12,5,7.707163,2.879213,178,0
1348,10,1,6.733425,1.916436,181,0
1358,9,6,2.287011,1.082402,179,0
1363,7,5,3.142361,2.326389,180,0
1367,9,7,10.178073,2.723464,179,0
1368,8,6,7.908520,2.339385,179,0
1377,7,5,8.222765,3.142458,179,0
1378,10,2,0.083333,2.847222,450,0
1419,2,2,0.855447,2.688547,179,0
1422,2,2,2.291667,2.361111,180,0
1423,0,2,2.224576,3.442797,177,0
1423,1,2,2.159410,2.633427,178,0
1426,11,4,7.100694,2.638889,180,0
1438,15,7,11.026278,1.970881,176,0
1440,6,3,5.798611,2.500000,180,0
1443,5,5,7.303371,2.194522,178,0
1448,3,6,1.306497,2.789548,177,0
1451,3,3,11.423611,2.534722,180,0
1471,3,4,3.142458,2.583799,179,0
1473,4,3,0.480769,17.908654,78,0
1475,14,6,11.797753,2.247191,178,0
1483,7,0,0.811464,3.038674,181,0
1500,11,5,11.400140,2.339385,179,0
1503,3,6,2.718927,3.072034,177,0
1504,5,2,4.592541,2.486188,181,0
1506,13,2,9.671788,4.102654,179,0
1507,1,5,7.750706,3.248588,177,0
1508,9,6,5.935754,5.534218,179,0
1509,3,2,0.569751,2.866022,181,0
1511,5,6,0.702247,2.738764,178,0
1512,10,4,0.907821,1.868017,179,0
1520,8,4,9.340278,3.489583,180,0
1520,15,0,9.060754,2.007682,179,0
1521,1,4,7.285815,2.563202,178,0
1524,1,7,11.736506,2.308239,176,0
1541,10,4,8.083101,1.588687,179,0
1548,10,6,12.359551,1.702949,178,0
1549,0,3,1.966292,4.406601,178,0
1554,6,7,12.238128,2.548883,179,0
1567,0,1,0.079836,2.372263,548,0
1571,13,6,9.410112,2.563202,178,0
1572,7,3,2.395833,2.638889,180,0
1588,0,6,2.769886,2.112926,176,0
1590,2,0,12.152778,2.916667,180,0
1604,11,4,9.165503,1.204609,179,0
1610,5,6,10.544693,2.758380,179,0
1635,6,7,10.094803,2.808989,178,0
1645,4,3,10.746528,2.256944,180,0
1646,6,3,7.569444,2.743056,180,0
1646,7,0,7.726648,3.554258,182,0
1652,5,5,7.724719,1.702949,178,0
1657,8,5,0.768156,3.648743,179,0
1673,15,3,10.911313,2.269553,179,0
1683,8,5,7.157821,1.972765,179,0
1692,4,5,10.699153,2.507062,177,0
1702,12,3,5.711806,2.361111,180,0
1704,9,7,0.698324,2.409218,179,0
1705,2,5,7.786017,2.612994,177,0
1708,8,4,0.065024,1.568237,817,0
1709,15,6,5.879237,4.360876,177,0
1709,11,3,5.778631,3.858240,179,0
1710,6,1,5.048077,2.197802,182,0
1719,9,5,10.527235,4.574022,179,0
1720,8,1,9.546703,1.064560,182,0
1722,7,2,12.033840,3.504834,181,0
1746,9,6,10.659722,2.031250,180,0
1781,0,6,9.321429,2.678571,175,0
1785,6,7,8.257682,3.142458,179,0
1786,14,6,1.386938,1.386938,178,0
1796,13,3,0.148473,2.665441,442,0
1797,10,7,4.958101,2.932961,179,0
1810,9,4,10.520833,3.159722,180,0
1823,4,6,2.877825,2.930791,177,0
1832,2,1,4.270833,3.732639,180,0
1840,8,0,3.777473,2.815934,182,0
1843,10,4,0.042135,1.369382,890,0
1850,4,6,7.962571,2.860169,177,0
1854,6,6,10.335196,2.863128,179,0
1864,5,4,6.423611,2.986111,180,0
1887,0,1,3.599017,3.458567,178,0
1894,13,7,12.271770,2.317416,178,0
1915,8,2,6.198204,2.935083,181,0
1930,6,1,8.166436,2.244475,181,0
1934,6,4,6.909722,1.753472,180,0
1940,7,7,5.863764,2.598315,178,0
1956,8,5,5.586592,2.147346,179,0
1964,7,6,2.395833,2.135417,180,0
1967,7,7,0.641026,17.908654,78,0
1973,10,5,10.059691,3.774579,178,0
1973,11,5,9.919242,3.528792,178,0
1973,14,5,9.933659,3.788408,179,0
1973,14,4,0.035005,1.403386,982,0
1973,14,3,9.863827,3.404330,179,0
1977,3,7,0.816761,2.840909,176,0
1980,0,5,3.866525,4.431497,177,0
1983,11,4,3.875698,2.618715,179,0
1985,2,6,6.709040,2.648305,177,0
1994,11,3,0.120192,4.393697,468,0
1999,10,0,10.782967,2.644231,182,0
2011,7,5,6.961806,2.916667,180,0
2020,5,7,10.007022,2.457865,178,0
2026,9,5,3.854167,2.951389,180,0
2043,5,7,6.599162,2.444134,179,0
2047,10,7,7.122905,3.962989,179,0
2053,8,6,0.080775,2.039580,619,0
2063,13,2,7.454609,2.147346,179,0
2067,5,7,9.919242,3.388343,178,0
2067,4,2,9.875691,4.126381,181,0
2070,11,6,10.287921,2.422753,178,0
2083,4,4,5.027933,1.833101,179,0
2084,14,2,1.041667,2.430556,180,0
2086,13,6,2.457865,2.422753,178,0
2088,13,5,10.814607,4.459270,178,0
2089,10,5,0.384078,2.723464,179,0
2091,2,6,12.393466,3.196023,176,0
2113,7,6,10.694444,2.916667,180,0
2138,7,6,3.090084,2.182263,179,0
2142,7,7,11.882062,3.372175,177,0
2153,6,6,9.916201,3.578911,179,0
2153,15,5,9.761236,1.983848,178,0
2160,1,6,9.676847,2.840909,176,0
2160,11,6,9.992938,4.625706,177,0
2163,9,5,5.761173,2.042598,179,0
2170,5,5,1.931180,2.387640,178,0
2176,4,7,1.112288,3.972458,177,0
2196,9,2,10.868819,3.451236,182,0
2207,6,2,5.145028,2.382597,181,0
2216,3,2,11.343232,3.401243,181,0
2220,1,6,0.603693,2.734375,176,0
2227,10,6,7.408708,2.563202,178,0
2233,3,2,5.972222,2.291667,180,0
2233,2,1,0.072863,1.849903,772,0
2234,14,7,9.357345,2.754237,177,0
2235,8,7,10.937500,2.395833,180,0
2243,1,6,8.487216,3.924006,176,0
2244,2,4,0.446429,17.857143,77,0
2245,5,7,6.495787,2.703652,178,0
2246,9,6,3.788408,1.798184,179,0
2254,13,6,2.440309,2.054073,178,0
2254,14,6,2.877825,3.372175,177,0
2270,11,2,5.347222,3.350694,180,0
2272,7,6,1.099860,3.037709,179,0
2280,0,1,2.317416,3.089888,178,0
2289,12,6,4.248596,2.282303,178,0
2293,3,7,12.252825,2.860169,177,0
2300,1,7,4.343220,2.683616,177,0
2302,11,3,7.430556,4.479167,180,0
2302,10,2,6.559066,1.837225,182,0
2315,1,6,11.035714,2.285714,175,0
2336,5,7,10.428371,2.808989,178,0
2350,10,7,10.212989,2.793296,179,0
2350,3,3,10.631983,3.334497,179,0
2350,2,1,10.457402,3.997905,179,0
2351,2,7,8.598164,2.436441,177,0
2351,6,5,8.921089,3.282123,179,0
2352,1,4,3.001412,3.001412,177,0
2353,10,7,7.594274,2.147346,179,0
2356,0,7,4.545455,2.876420,176,0
2357,5,4,9.236111,3.229167,180,0
2359,3,7,3.442797,2.471751,177,0
2368,8,7,2.060056,2.479050,179,0
2370,2,7,10.734463,2.507062,177,0
2383,9,6,3.893156,3.247207,179,0
2399,0,1,7.303371,3.493680,178,0
