EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
2,9,8,6.617647,3.051471,170,0
4,7,8,0.514706,7.830882,170,0
9,2,11,4.082370,2.781792,173,0
13,1,13,7.082101,3.531805,169,0
14,7,8,2.995562,5.473373,169,0
14,8,8,2.058824,2.941176,170,0
25,9,13,6.958576,4.760174,172,0
31,3,11,6.871345,1.882310,171,0
37,6,10,4.166667,2.741228,171,0
42,7,10,9.612573,2.923977,171,0
46,5,13,8.235294,2.463235,170,0
49,6,14,12.063953,2.470930,172,0
51,11,9,0.065736,2.492921,618,0
53,8,9,1.341912,3.272059,170,0
55,6,8,4.123521,3.642751,169,0
60,8,9,4.422515,2.960526,171,0
62,5,12,8.933824,2.941176,170,0
64,5,13,10.983187,2.485380,171,0
71,7,8,11.066176,2.647059,170,0
78,1,10,4.952485,2.375731,171,0
83,2,9,11.056287,2.668129,171,0
100,3,12,3.345588,3.988971,170,0
100,3,13,3.455882,4.466912,170,0
100,2,14,2.901786,3.125000,168,0
100,3,14,3.273810,3.701637,168,0
101,10,15,4.411765,2.224265,170,0
103,5,9,0.043348,1.615700,793,0
104,1,10,7.231105,3.270349,172,0
113,10,8,3.014706,4.705882,170,0
114,3,9,3.344298,4.002193,171,0
114,8,12,2.598110,2.398256,172,0
119,1,11,10.709064,3.252924,171,0
122,4,14,1.727941,2.683824,170,0
128,6,11,10.380117,4.148392,171,0
130,4,10,12.079678,1.663012,171,0
132,6,13,2.613304,2.595029,171,0
135,4,15,0.919118,4.613971,170,0
140,13,13,7.877219,2.625740,169,0
146,8,9,5.882353,2.352941,170,0
149,9,9,6.980994,2.777778,171,0
149,3,10,7.316176,4.025735,170,0
153,2,10,1.334064,2.741228,171,0
154,4,12,8.676471,2.647059,170,0
162,11,13,10.114645,1.978550,169,0
162,13,14,9.505988,0.860778,167,0
165,9,10,4.540441,4.816176,170,0
166,5,15,8.198529,2.316176,170,0
172,12,9,1.627219,2.588757,169,0
173,11,8,3.860294,1.966912,170,0
185,4,9,9.247076,3.070175,171,0
199,2,10,4.433140,2.688953,172,0
200,6,15,9.522059,4.669118,170,0
201,11,14,4.947917,2.455357,168,0
211,7,11,7.255117,4.002193,171,0
211,7,13,7.503634,4.687500,172,0
220,13,10,6.693787,2.163462,169,0
232,2,10,2.034884,2.507267,172,0
234,2,14,7.063609,2.237426,169,0
239,4,15,6.580882,2.720588,170,0
244,6,10,10.606618,2.977941,170,0
246,10,8,4.522059,3.419118,170,0
251,8,13,0.763081,2.053052,172,0
252,2,9,3.691520,2.412281,171,0
253,4,14,6.469298,4.751462,171,0
253,4,15,5.772059,2.352941,170,0
259,12,9,2.903107,2.625740,169,0
262,5,14,6.121324,4.099265,170,0
264,7,8,10.808824,2.683824,170,0
265,8,10,6.783088,3.345588,170,0
266,9,10,7.977941,3.511029,170,0
268,3,10,6.048977,2.850877,171,0
273,9,13,3.380848,0.548246,171,0
277,4,11,1.809211,3.709795,171,0
278,6,11,11.029412,2.389706,170,0
280,4,14,3.970588,4.632353,170,0
280,5,14,4.044118,4.466912,170,0
290,6,8,6.823225,2.662722,169,0
299,7,8,9.007353,4.613971,170,0
299,7,9,9.210526,4.714912,171,0
299,6,10,7.977941,1.636029,170,0
299,9,10,8.897059,4.209559,170,0
299,7,12,9.064327,4.897661,171,0
302,8,10,11.915205,2.777778,171,0
309,3,9,9.630848,2.887427,171,0
310,3,8,2.867647,2.297794,170,0
311,4,12,4.952485,3.399123,171,0
315,4,8,0.044585,2.618353,771,0
315,3,9,3.566176,2.500000,170,0
315,4,9,3.994083,3.476331,169,0
315,5,9,3.864645,3.032544,169,0
315,1,10,4.495614,6.012427,171,0
315,4,10,3.805147,3.088235,170,0
323,6,11,9.926471,3.088235,170,0
324,8,14,0.061652,1.487361,811,0
334,13,9,7.230030,2.995562,169,0
336,3,13,0.657895,2.412281,171,0
339,4,8,3.254438,3.864645,169,0
339,4,14,3.033088,3.088235,170,0
341,10,15,4.493343,2.403846,169,0
360,9,8,0.772059,4.577206,170,0
368,9,10,0.420322,3.216374,171,0
