EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
0,3,13,9.920058,2.361919,172,0
2,3,9,8.881579,2.339181,171,0
3,4,11,3.713235,3.768382,170,0
3,4,12,3.362573,2.668129,171,0
3,14,12,2.625740,1.109467,169,0
3,14,14,3.162425,2.301647,167,0
3,2,15,2.806886,1.253743,167,0
17,9,15,5.880178,2.847633,169,0
18,4,15,12.334559,1.139706,170,0
22,7,12,0.581395,2.325581,172,0
23,6,8,0.367647,2.941176,170,0
23,7,8,0.462278,2.773669,169,0
24,8,10,4.824561,2.741228,171,0
25,9,9,1.875000,1.709559,170,0
25,7,12,1.991959,2.521930,171,0
25,7,13,2.034884,2.325581,172,0
26,3,12,5.007310,4.331140,171,0
31,11,10,4.099265,1.893382,170,0
41,3,9,1.250000,2.941176,170,0
50,4,8,5.269970,0.554734,169,0
54,3,12,2.302632,2.412281,171,0
59,8,9,6.286765,3.161765,170,0
63,11,12,10.238971,2.647059,170,0
66,12,11,4.209559,1.709559,170,0
73,4,14,6.727941,2.187500,170,0
84,12,13,3.864645,2.200444,169,0
88,2,15,0.042373,1.447740,885,0
96,8,12,10.792151,2.543605,172,0
98,11,13,10.723684,4.177632,190,0
101,8,15,9.338450,2.302632,171,0
106,7,9,5.955882,4.503676,170,0
106,7,10,5.551471,3.768382,170,0
106,7,11,5.588235,3.621324,170,0
108,8,12,8.085029,2.616279,172,0
110,2,9,8.991228,1.699561,171,0
113,7,9,10.110294,2.389706,170,0
120,2,11,0.694444,2.923977,171,0
127,7,15,11.838235,2.224265,170,0
132,3,8,3.382353,1.194853,170,0
138,8,10,9.246324,2.297794,170,0
139,2,10,0.712719,2.960526,171,0
142,1,8,10.780325,3.180473,169,0
145,10,11,3.970588,2.683824,170,0
149,1,14,12.127976,3.273810,168,0
153,5,9,9.850146,2.375731,171,0
158,8,11,0.753676,2.683824,170,0
158,6,12,0.676170,2.101608,171,0
159,8,11,5.551471,2.757353,170,0
165,6,10,10.257353,2.426471,170,0
177,7,9,10.790441,1.378676,170,0
185,2,9,0.749269,2.448830,171,0
190,9,10,0.323276,14.870690,116,0
197,8,10,3.602941,2.647059,170,0
206,5,8,7.058824,3.161765,170,0
211,5,12,12.426471,3.511029,170,0
215,6,13,6.414474,2.339181,171,0
217,11,12,3.051036,4.086538,169,0
227,8,11,0.057101,2.200997,602,0
248,6,12,4.459064,2.997076,171,0
248,6,13,5.098684,7.602339,171,0
251,5,10,9.959795,3.929094,171,0
252,5,14,2.034024,2.440828,169,0
257,4,13,11.878655,2.631579,171,0
268,0,8,11.439732,3.311012,168,0
275,11,11,10.854290,2.403846,169,0
277,6,9,9.742647,2.573529,170,0
277,9,9,10.018382,2.150735,170,0
277,8,10,9.744822,2.477811,169,0
277,10,11,10.576923,4.123521,169,0
277,10,12,9.556686,2.016715,172,0
277,7,14,9.740497,1.736111,171,0
278,7,11,5.294118,3.198529,170,0
285,10,13,8.899854,2.741228,171,0
288,4,10,7.273392,2.247807,171,0
296,1,9,7.628676,2.720588,170,0
302,6,10,0.974265,3.198529,170,0
303,9,13,6.976744,2.398256,172,0
312,2,10,4.978198,2.470930,172,0
313,2,8,1.738166,1.608728,169,0
315,6,11,0.735294,3.014706,170,0
325,3,14,11.433824,2.261029,170,0
334,3,10,11.838235,3.382353,170,0
336,9,12,5.486919,2.652616,172,0
338,8,8,1.164941,3.106509,169,0
338,9,8,1.190476,1.878720,168,0
338,7,9,1.360294,2.794118,170,0
338,8,9,2.316176,17.371324,170,0
338,9,9,2.573529,17.371324,170,0
338,10,9,0.998521,1.423817,169,0
338,8,10,1.146450,3.217456,169,0
338,9,10,0.078782,2.291229,476,0
339,2,13,11.580882,3.382353,170,0
345,6,11,7.182018,0.950292,171,0
351,12,10,5.992647,5.000000,170,0
352,12,8,11.893382,2.867647,170,0
354,12,13,5.491864,1.719675,169,0
369,4,11,9.155702,2.631579,171,0
371,9,11,7.205882,0.992647,170,0
379,3,8,0.739645,1.645710,169,0
381,2,10,7.921512,2.125727,172,0
383,14,8,10.360863,1.618304,168,0
388,13,10,0.980030,2.366864,169,0
394,15,8,9.449405,1.841518,168,0
397,7,8,8.382353,1.231618,170,0
398,3,9,7.437865,2.028509,171,0
407,9,8,9.742647,2.352941,170,0
415,14,8,9.244792,2.566964,168,0
426,2,11,3.746345,1.699561,171,0
434,3,13,4.586988,2.960526,171,0
437,3,15,11.168639,2.015533,169,0
456,2,10,4.560320,2.943314,172,0
462,9,9,5.610380,1.809211,171,0
465,5,9,1.856618,1.783088,170,0
466,4,12,3.033626,2.485380,171,0
466,7,13,3.015988,1.726017,172,0
474,8,8,5.772059,3.014706,170,0
482,8,10,1.286765,3.308824,170,0
482,8,11,1.286765,4.172794,170,0
483,8,12,2.888808,2.761628,172,0
500,1,13,5.122041,1.941568,169,0
505,1,12,2.107988,3.291420,169,0
512,11,10,6.688596,1.991959,171,0
520,10,8,8.566176,2.610294,170,0
523,10,8,3.529412,3.272059,170,0
526,1,10,10.270468,2.247807,171,0
531,10,11,2.224265,2.113971,170,0
537,5,9,6.194853,2.003676,170,0
543,10,9,2.095588,2.389706,170,0
544,3,10,5.808824,4.025735,170,0
545,9,11,3.015351,1.480263,171,0
549,3,11,5.555556,2.448830,171,0
558,11,8,6.544118,2.297794,170,0
560,9,12,3.379360,2.289244,172,0
566,4,13,5.025585,4.897661,171,0
568,4,8,2.352941,2.610294,170,0
570,2,13,1.121324,2.352941,170,0
575,3,10,11.129386,2.850877,171,0
580,9,14,0.347222,1.096491,171,0
597,7,9,4.696637,0.913743,171,0
610,3,15,4.203869,1.953125,168,0
611,5,11,6.542398,3.782895,171,0
613,1,12,2.095588,1.636029,170,0
626,7,15,4.742647,1.819853,170,0
634,9,10,2.058824,2.500000,170,0
647,11,12,6.470588,2.757353,170,0
651,6,14,6.030702,1.845760,171,0
653,9,15,7.785088,1.370614,171,0
654,4,8,4.117647,2.261029,170,0
656,8,10,0.039474,1.322368,950,0
657,13,8,6.878698,2.015533,169,0
657,3,15,7.267012,2.311391,169,0
658,0,9,6.601331,4.844675,169,0
662,13,11,5.676775,1.645710,169,0
663,9,10,11.360294,2.426471,170,0
665,3,11,2.649854,2.065058,171,0
682,0,11,6.268382,3.235294,170,0
683,8,9,6.948529,3.272059,170,0
683,7,11,6.432749,1.443713,171,0
683,7,12,7.449128,4.869186,172,0
683,11,12,7.340976,4.493343,169,0
683,9,14,7.158430,4.233285,172,0
693,14,12,11.834320,2.329882,169,0
696,2,8,11.507353,1.452206,170,0
703,6,10,1.838235,4.283088,170,0
703,9,10,2.279412,4.889706,170,0
703,3,11,1.507353,2.003676,170,0
703,4,11,1.297515,1.991959,171,0
703,4,12,1.754386,3.746345,171,0
703,5,12,2.316176,4.742647,170,0
703,6,12,2.132353,5.000000,170,0
703,7,12,1.985294,4.099265,170,0
703,5,15,2.371324,5.588235,170,0
706,9,14,11.385234,2.960526,171,0
706,10,14,3.693182,116.477273,11,0
715,2,12,1.442308,2.773669,169,0
719,6,12,10.955882,2.720588,170,0
721,12,13,8.524408,3.901627,169,0
736,5,9,4.148392,3.527047,171,0
740,8,8,5.643382,2.463235,170,0
744,1,9,0.772059,2.794118,170,0
746,6,10,5.588235,4.705882,170,0
750,12,11,7.877219,2.514793,169,0
752,8,14,6.140988,2.761628,172,0
754,9,11,4.714912,2.412281,171,0
767,2,13,3.855994,2.558480,171,0
772,2,12,12.187500,2.904412,170,0
784,6,11,10.343567,2.028509,171,0
785,13,9,1.923077,4.271450,169,0
785,11,10,2.015533,4.659763,169,0
785,12,10,1.934524,4.724702,168,0
785,13,10,2.046131,4.482887,168,0
