0,0,0,0,0,0,0,0,703,636,674,616,608,614,529,517
0,0,0,0,0,0,0,0,802,770,683,700,654,636,568,574
0,0,0,0,0,0,0,0,815,832,761,799,638,630,553,597
0,0,0,0,0,0,0,0,851,823,823,785,768,709,616,538
0,0,0,0,0,0,0,0,920,920,853,916,808,806,729,557
0,0,0,0,0,0,0,0,942,979,956,1001,918,862,688,652
0,0,0,0,0,0,0,0,1049,1092,1059,1118,1004,966,744,645
0,0,0,0,0,0,0,0,1069,1073,1215,1049,1053,911,787,629
0,0,0,0,0,0,0,0,1093,1084,1153,1079,940,802,709,550
0,0,0,0,0,0,0,0,1008,1067,1041,1075,869,781,617,488
0,0,0,0,0,0,0,0,895,923,924,920,862,651,564,429
0,0,0,0,0,0,0,0,813,854,843,815,682,518,499,366
0,0,0,0,0,0,0,0,676,700,718,632,566,467,409,296
0,0,0,0,0,0,0,0,551,547,521,446,432,372,280,224
0,0,0,0,0,0,0,0,381,10,425,357,338,271,240,245
0,0,0,0,0,0,0,0,300,318,363,316,244,207,211,182
