EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
6,10,12,1.139706,2.261029,170,0
16,3,9,12.372076,3.143275,171,0
25,11,9,5.808824,2.830882,170,0
28,6,12,2.616279,1.726017,172,0
31,14,10,5.122041,2.995562,169,0
31,12,11,5.349265,3.419118,170,0
38,1,8,6.436012,2.604167,168,0
44,9,14,5.847953,1.882310,171,0
47,9,8,2.794118,3.051471,170,0
53,8,14,5.541424,2.325581,172,0
53,9,14,6.286337,4.723837,172,0
54,3,9,6.889620,2.558480,171,0
54,7,9,6.727941,1.783088,170,0
54,4,10,7.481618,4.246324,170,0
54,6,10,6.507353,2.757353,170,0
54,6,11,6.709559,2.113971,170,0
54,8,11,0.064516,1.612903,775,0
55,0,11,2.647059,3.088235,170,0
57,3,11,12.171053,2.558480,171,0
60,7,12,4.905523,2.870640,172,0
61,12,12,4.178994,2.200444,169,0
65,14,14,3.459821,2.529762,168,0
67,12,8,9.208580,2.921598,169,0
73,11,12,5.073529,2.113971,170,0
75,1,13,6.009615,2.773669,169,0
77,9,11,9.521199,2.887427,171,0
80,12,10,8.419118,2.683824,170,0
88,4,9,8.040936,2.284357,171,0
93,10,8,8.857249,3.568787,169,0
95,2,12,10.625000,2.352941,170,0
98,14,8,3.761228,1.085329,167,0
99,11,10,12.408088,3.014706,170,0
102,10,8,2.886029,2.352941,170,0
103,4,11,3.362573,2.814327,171,0
106,6,9,5.808824,2.941176,170,0
119,10,8,2.829142,3.106509,169,0
121,6,12,11.066176,2.500000,170,0
127,15,13,0.085432,1.753597,695,0
135,5,11,3.070175,2.960526,171,0
135,4,12,2.686404,2.247807,171,0
139,7,8,4.852941,2.426471,170,0
141,8,11,4.393382,3.051471,170,0
146,6,13,4.660088,3.490497,171,0
148,6,8,0.813609,2.958580,169,0
153,3,10,0.404412,3.511029,170,0
154,2,11,0.487717,3.450145,173,0
158,8,12,3.179825,3.399123,171,0
158,9,14,3.198529,2.941176,170,0
176,9,11,8.698830,1.845760,171,0
181,0,13,7.533482,2.790179,168,0
184,8,11,10.197368,2.631579,171,0
188,9,10,3.897059,3.805147,170,0
192,5,15,3.658088,2.977941,170,0
195,5,9,9.685673,2.923977,171,0
198,10,12,6.286550,2.704678,171,0
198,11,12,5.772059,1.636029,170,0
199,11,9,2.496302,1.571746,169,0
206,7,14,4.020468,2.101608,171,0
212,8,8,5.294118,2.297794,170,0
216,12,12,7.500000,1.194853,170,0
230,6,10,6.213235,3.805147,170,0
236,3,9,7.667151,1.835029,172,0
236,8,12,7.812500,2.688953,172,0
236,1,15,8.471386,4.085090,166,0
238,10,13,5.354532,2.485380,171,0
239,10,12,2.722953,2.375731,171,0
242,10,9,8.125000,3.988971,170,0
245,2,8,7.303994,2.052515,169,0
245,0,9,7.784763,3.476331,169,0
249,4,8,9.117647,2.077206,170,0
251,14,11,7.812500,4.836310,168,0
251,15,11,7.031250,2.139137,168,0
251,15,12,7.692308,4.659763,169,0
253,12,8,4.301471,3.014706,170,0
255,13,8,3.957101,1.793639,169,0
255,12,12,4.345414,3.069527,169,0
258,5,11,1.900585,2.284357,171,0
267,9,15,7.095588,2.389706,170,0
271,0,8,0.729790,2.582335,167,0
273,3,9,3.837719,2.960526,171,0
276,8,8,4.227941,2.757353,170,0
277,11,8,11.815828,2.773669,169,0
283,4,14,3.676471,2.720588,170,0
285,8,10,1.838235,3.694853,170,0
297,5,11,10.882353,2.463235,170,0
299,13,9,9.670858,2.662722,169,0
306,8,14,7.730263,2.631579,171,0
312,9,13,8.278509,2.448830,171,0
313,13,8,7.941176,2.150735,170,0
314,0,11,0.980030,1.608728,169,0
338,5,13,8.863304,2.777778,171,0
347,7,10,10.514706,3.878676,170,0
354,12,11,2.261029,1.452206,170,0
355,1,8,11.464497,3.402367,169,0
355,12,12,11.346726,2.380952,168,0
355,10,15,11.131657,2.477811,169,0
363,5,12,12.280702,2.521930,171,0
365,13,11,6.324405,3.311012,168,0
367,5,11,5.772059,2.389706,170,0
379,8,11,8.897059,3.345588,170,0
390,8,8,0.496324,3.988971,170,0
391,8,12,8.938953,2.725291,172,0
405,12,13,2.200444,1.608728,169,0
409,7,13,6.999269,1.955409,171,0
410,13,10,10.872781,3.679734,169,0
411,0,8,12.053571,3.087798,168,0
414,0,15,1.054217,3.783886,166,0
419,9,13,4.385965,2.850877,171,0
419,1,15,4.023204,2.339072,167,0
430,3,8,7.895710,2.551775,169,0
430,0,15,8.094880,3.633283,166,0
432,3,12,9.375000,2.485380,171,0
435,5,10,9.813596,1.772661,171,0
435,2,13,10.124269,3.326023,171,0
439,3,9,11.275585,2.741228,171,0
439,8,9,11.092836,2.777778,171,0
442,3,11,11.409884,3.234012,172,0
450,8,12,8.666424,4.378634,172,0
466,9,12,2.906977,2.725291,172,0
470,3,8,9.522059,6.268382,170,0
470,5,8,7.895710,0.813609,169,0
470,5,9,9.595588,11.617647,170,0
471,9,11,2.119883,1.882310,171,0
479,5,15,5.661765,3.511029,170,0
479,14,15,5.389222,3.218563,167,0
481,8,14,6.030702,2.485380,171,0
485,13,11,6.250000,2.976190,168,0
486,7,8,6.415441,2.794118,170,0
487,2,9,4.660088,2.741228,171,0
502,0,14,11.863772,2.339072,167,0
503,10,12,11.348684,3.070175,171,0
507,5,8,1.183432,2.958580,169,0
510,9,13,4.130117,2.412281,171,0
515,3,10,6.470588,3.198529,170,0
515,4,10,6.525735,3.235294,170,0
516,11,12,2.647059,2.941176,170,0
517,13,11,2.810651,2.015533,169,0
518,14,15,11.784639,2.974398,166,0
525,8,14,3.362573,2.850877,171,0
527,9,8,4.871324,2.720588,170,0
528,3,9,9.411550,4.002193,171,0
539,4,9,10.142544,2.375731,171,0
557,6,9,5.171784,1.918860,171,0
566,13,8,5.580357,3.125000,168,0
567,10,8,4.227941,3.988971,170,0
578,12,11,10.946746,3.291420,169,0
578,8,12,11.409884,4.614826,172,0
578,9,12,11.641082,4.788012,171,0
578,9,13,2.678571,84.970238,21,0
592,10,13,1.066176,4.356618,170,0
597,10,14,0.042277,1.388106,887,0
598,5,9,10.330882,2.904412,170,0
600,10,14,3.088235,3.014706,170,0
601,11,13,2.186533,1.538313,969,0
608,3,11,3.524709,3.125000,172,0
628,5,13,2.357456,2.814327,171,0
634,3,13,7.273392,1.918860,171,0
641,8,13,3.833576,3.088663,172,0
643,10,9,6.028107,2.662722,169,0
644,6,8,0.585938,19.824219,64,0
655,2,11,10.864826,2.761628,172,0
656,7,14,1.681287,2.960526,171,0
658,4,11,4.824561,2.412281,171,0
659,11,8,10.410503,4.641272,169,0
666,11,8,8.823529,3.952206,170,0
668,8,12,0.075075,1.637575,666,0
674,10,14,2.150735,1.930147,170,0
680,3,13,0.749269,2.814327,171,0
682,8,11,2.113971,3.878676,170,0
683,6,12,12.205882,2.647059,170,0
687,9,9,5.772059,3.235294,170,0
690,9,12,7.291667,1.589912,171,0
694,5,13,6.962719,2.302632,171,0
703,7,14,9.301901,3.362573,171,0
715,4,13,9.740497,2.558480,171,0
720,13,9,0.425296,4.567308,169,0
729,11,15,11.030506,4.073661,168,0
741,0,15,9.826807,2.635542,166,0
743,0,13,1.934524,4.259673,168,0
746,2,9,10.142544,2.850877,171,0
748,8,15,7.095588,1.415441,170,0
753,8,10,7.636834,2.200444,169,0
755,0,14,5.319940,3.497024,168,0
755,9,14,5.813953,2.361919,172,0
759,9,10,10.955882,2.610294,170,0
764,10,11,1.617647,3.511029,170,0
778,2,15,8.519345,2.418155,168,0
779,13,11,12.241124,2.662722,169,0
783,4,14,3.492647,3.161765,170,0
786,7,13,4.505814,2.361919,172,0
787,9,15,7.022059,2.867647,170,0
804,13,8,9.044118,1.893382,170,0
805,4,13,5.409357,2.923977,171,0
827,5,9,0.808824,3.511029,170,0
831,12,12,1.072485,2.477811,169,0
832,8,14,12.390351,2.558480,171,0
835,2,13,10.716912,3.014706,170,0
837,9,11,4.641813,3.252924,171,0
843,13,10,11.187130,1.608728,169,0
846,0,8,6.324405,2.790179,168,0
847,3,11,6.706871,2.923977,171,0
850,4,10,12.061404,4.002193,171,0
853,8,8,3.600146,1.882310,171,0
855,7,9,10.307018,3.782895,171,0
857,0,15,11.106928,1.016566,166,0
870,4,10,0.041209,1.510989,910,0
870,6,10,9.227941,3.455882,170,0
870,6,11,9.904971,7.273392,171,0
870,3,12,9.522059,4.099265,170,0
870,8,12,9.519509,4.624277,173,0
872,14,8,7.812500,2.213542,168,0
872,7,15,7.775735,2.224265,170,0
874,15,15,4.491018,2.395210,167,0
875,7,10,0.621345,4.111842,171,0
876,8,8,7.132353,5.110294,170,0
878,4,9,7.757353,3.694853,170,0
879,8,9,10.800439,4.513889,171,0
879,10,9,11.066176,4.963235,170,0
883,12,8,0.040584,1.545590,924,0
888,0,14,2.151946,2.769461,167,0
893,14,11,7.581361,3.143491,169,0
898,1,14,5.952381,2.492560,168,0
908,0,12,10.891272,2.736686,169,0
909,7,13,3.161337,2.688953,172,0
911,11,13,3.351684,2.531304,579,0
917,5,12,5.159884,2.943314,172,0
918,11,10,1.719675,2.921598,169,0
920,9,13,1.053779,4.687500,172,0
920,10,13,0.529971,3.855994,171,0
925,13,9,3.566176,1.636029,170,0
926,6,12,9.466374,1.991959,171,0
928,7,9,8.991228,2.997076,171,0
932,5,11,0.060976,1.753049,615,0
934,7,9,3.855994,2.777778,171,0
942,12,11,4.123521,3.143491,169,0
953,15,8,12.220982,5.059524,168,0
953,8,11,11.360294,2.500000,170,0
967,9,14,0.477941,2.316176,170,0
971,1,13,3.943452,2.455357,168,0
977,10,11,2.352941,2.904412,170,0
988,8,8,6.507353,3.125000,170,0
994,10,12,3.764620,2.101608,171,0
995,5,9,9.576023,2.595029,171,0
1004,6,10,6.158088,4.172794,170,0
1013,8,10,4.513889,3.143275,171,0
1019,11,9,11.580882,3.768382,170,0
1025,0,9,4.604290,2.366864,169,0
1045,1,12,9.889706,3.051471,170,0
1057,6,15,9.595588,4.540441,170,0
1076,12,8,7.536765,3.161765,170,0
1078,1,8,9.356509,2.921598,169,0
1080,11,8,0.057515,1.711081,652,0
1080,4,9,0.056647,1.793807,662,0
1080,5,9,4.669118,2.316176,170,0
1080,2,10,4.560320,2.652616,172,0
1083,12,9,2.757353,2.794118,170,0
1087,6,13,4.360465,2.943314,172,0
1094,7,13,8.150585,4.641813,171,0
1094,6,14,7.931287,4.586988,171,0
1096,4,13,3.639706,2.426471,170,0
1101,8,9,0.919118,2.757353,170,0
1103,1,15,8.738772,3.106287,167,0
1105,8,11,2.683824,2.977941,170,0
1117,1,10,6.159157,3.470203,172,0
1127,6,11,3.435673,3.179825,171,0
1129,10,11,11.139706,2.352941,170,0
1135,4,8,2.242647,1.856618,170,0
1139,3,13,3.216374,2.284357,171,0
