EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
7,10,11,4.191176,1.231618,170,0
9,11,11,4.393382,2.830882,170,0
38,6,13,8.388158,2.997076,171,0
40,4,12,6.304506,0.944767,172,0
83,9,13,8.406433,1.699561,171,0
94,5,13,8.278509,2.668129,171,0
95,5,9,1.286765,3.584559,170,0
102,9,10,8.088235,3.988971,170,0
112,14,10,3.713235,3.198529,170,0
122,5,8,6.966912,2.610294,170,0
126,1,12,11.113166,2.884615,169,0
134,4,10,6.469298,2.174708,171,0
136,10,13,10.772059,4.466912,170,0
140,13,11,7.932692,2.237426,169,0
143,9,11,6.524123,2.704678,171,0
144,15,10,1.636905,3.199405,168,0
147,12,8,6.009615,1.275888,169,0
148,5,9,7.316176,2.904412,170,0
151,11,10,0.661765,3.014706,170,0
152,8,11,0.680147,2.463235,170,0
159,13,8,1.838235,3.547794,170,0
159,13,9,2.279412,4.393382,170,0
160,2,12,0.772059,2.261029,170,0
165,8,11,4.375000,2.500000,170,0
166,11,10,0.845588,5.110294,170,0
166,12,10,0.422794,4.356618,170,0
166,11,13,3.908828,1.851279,606,0
168,6,13,10.087719,4.550439,171,0
172,4,12,10.361842,2.960526,171,0
175,5,15,1.838235,2.904412,170,0
183,8,10,0.404412,2.904412,170,0
184,0,12,7.359467,4.567308,169,0
185,8,10,4.411765,3.161765,170,0
191,2,8,10.955882,2.867647,170,0
195,3,11,10.818713,1.809211,171,0
201,5,8,10.863971,3.235294,170,0
212,10,10,0.402047,2.448830,171,0
240,11,8,11.911765,3.051471,170,0
243,12,13,7.895710,3.901627,169,0
243,11,14,8.277530,4.371280,168,0
243,11,15,7.924107,3.590030,168,0
248,0,8,0.372024,11.067708,168,0
248,1,8,0.367647,7.169118,170,0
248,1,10,0.493421,6.889620,171,0
253,13,12,6.342456,1.608728,169,0
254,15,11,2.514793,2.847633,169,0
254,8,14,2.430556,2.521930,171,0
257,5,8,10.110294,2.867647,170,0
259,13,10,11.113166,2.625740,169,0
272,11,10,4.632353,1.488971,170,0
274,11,10,4.595588,2.647059,170,0
278,7,12,0.456871,3.326023,171,0
281,7,11,1.096491,2.741228,171,0
283,5,13,11.373547,2.198401,172,0
289,5,8,0.046247,1.427061,946,0
299,12,10,4.613971,2.187500,170,0
302,10,15,12.056213,2.311391,169,0
303,6,12,4.111842,2.704678,171,0
313,8,11,10.069444,2.887427,171,0
315,1,10,9.557749,2.704678,171,0
317,0,11,8.805147,0.588235,170,0
330,13,8,5.367647,2.224265,170,0
335,14,8,10.639881,2.604167,168,0
336,8,11,7.500000,2.867647,170,0
341,11,13,3.385000,4.480000,625,0
348,14,13,12.278107,1.534763,169,0
350,9,15,8.241959,3.216374,171,0
351,15,12,3.590030,3.590030,168,0
353,0,8,5.636161,2.901786,168,0
357,0,11,12.022059,2.647059,170,0
366,6,8,0.041713,1.397386,899,0
373,2,12,1.617647,1.930147,170,0
379,10,8,8.382353,3.235294,170,0
387,6,8,9.338018,2.274408,169,0
396,10,10,10.625000,2.830882,170,0
397,8,12,4.461705,2.149566,173,0
401,0,10,5.975877,3.289474,171,0
402,12,14,2.176339,2.455357,168,0
408,8,10,3.746345,2.741228,171,0
419,5,12,11.038012,2.850877,171,0
430,10,9,9.411765,4.356618,170,0
439,7,10,10.073529,2.977941,170,0
439,5,12,10.014620,3.435673,171,0
443,0,10,1.856618,4.779412,170,0
456,7,8,11.205621,2.329882,169,0
458,11,13,2.745665,2.944364,692,0
459,12,13,6.749260,2.237426,169,0
460,7,11,0.808824,3.419118,170,0
467,6,13,5.975877,2.101608,171,0
477,9,9,11.860380,1.370614,171,0
484,5,9,9.758772,3.600146,171,0
484,14,10,9.208580,2.052515,169,0
487,11,12,5.735294,3.088235,170,0
488,6,10,6.783088,2.573529,170,0
499,15,13,6.490385,3.605769,169,0
500,7,15,10.220588,2.794118,170,0
504,13,8,11.279586,2.995562,169,0
506,15,8,8.925898,3.836078,167,0
508,7,10,10.882353,2.830882,170,0
509,9,8,10.661765,2.830882,170,0
513,3,9,4.751462,2.850877,171,0
520,10,8,2.570266,2.274408,169,0
523,8,14,7.182018,2.485380,171,0
536,4,12,0.475146,2.960526,171,0
550,10,13,5.921053,1.918860,171,0
556,10,14,11.723373,3.291420,169,0
558,7,13,5.032703,2.543605,172,0
560,4,13,1.341912,1.856618,170,0
564,11,14,5.877976,2.176339,168,0
568,5,15,6.507353,2.040441,170,0
575,12,13,2.366864,3.106509,169,0
580,6,8,10.687870,3.180473,169,0
582,15,15,9.337349,2.936747,166,0
586,0,14,0.828313,2.164910,166,0
591,8,11,12.242647,3.419118,170,0
596,3,12,0.730994,2.887427,171,0
599,5,14,12.242647,3.345588,170,0
604,6,14,1.297515,2.412281,171,0
610,3,8,0.050785,1.581121,923,0
612,8,8,4.989035,2.668129,171,0
613,10,9,4.136029,1.415441,170,0
617,13,10,10.588235,2.389706,170,0
621,5,9,0.056818,1.785038,660,0
621,5,10,4.568713,2.777778,171,0
626,1,13,7.119083,2.329882,169,0
640,13,14,1.116071,2.641369,168,0
644,10,8,0.044014,1.467136,852,0
646,9,8,4.724265,2.573529,170,0
657,11,8,1.886095,2.366864,169,0
662,6,11,7.812500,1.819853,170,0
664,3,11,6.395349,4.015262,172,0
