Channel,Total_Valid_Hits,Avg_TOA_ns,RMS_TOA_ns,Avg_TOT_ns,RMS_TOT_ns,Avg_CAL_Code,RMS_CAL_Code
CH_A,88951,6.151,3.609,2.919,1.441,188.227,104.862
CH_B,56027,6.159,3.595,2.766,1.422,193.682,96.352
