4,8,7,7,4,9,8,10,0,0,0,0,0,0,0,0
1,5,4,6,9,4,11,8,0,0,0,0,0,0,0,0
3,5,4,5,4,8,9,8,0,0,0,0,0,0,0,0
4,2,8,6,8,9,8,13,0,0,0,0,0,0,0,0
5,3,4,9,7,6,16,14,0,0,0,0,0,0,0,0
6,2,3,6,11,13,14,12,0,0,0,0,0,0,0,0
5,5,3,8,5,12,19,22,0,0,0,0,0,0,0,0
4,4,2,6,10,10,17,20,0,0,0,0,0,0,0,0
5,7,3,4,14,10,12,12,0,0,0,0,0,0,0,0
1,4,7,2,9,10,15,15,0,0,0,0,0,0,0,0
5,5,5,4,5,8,15,17,0,0,0,0,0,0,0,0
0,2,5,6,7,10,12,13,0,0,0,0,0,0,0,0
1,1,4,6,3,10,8,5,0,0,0,0,0,0,0,0
0,2,6,3,2,9,6,5,0,0,0,0,0,0,0,0
0,4,2,3,2,4,9,8,0,0,0,0,0,0,0,0
2,4,0,3,2,2,3,3,0,0,0,0,0,0,0,0
