0,0,0,0,0,0,0,0,6,6,7,6,5,8,3,5
0,0,0,0,0,0,0,0,12,8,6,7,16,5,7,6
0,0,0,0,0,0,0,0,11,15,4,14,5,2,3,5
0,0,0,0,0,0,0,0,6,8,10,13,13,4,1,5
0,0,0,0,0,0,0,0,12,15,14,9,5,8,7,4
0,0,0,0,0,0,0,0,18,16,12,8,10,10,9,10
0,0,0,0,0,0,0,0,14,19,10,9,17,19,6,7
0,0,0,0,0,0,0,0,22,18,12,10,19,12,9,5
0,0,0,0,0,0,0,0,14,16,29,19,15,11,6,6
0,0,0,0,0,0,0,0,18,17,17,18,14,12,12,15
0,0,0,0,0,0,0,0,14,15,16,20,20,7,12,5
0,0,0,0,0,0,0,0,10,12,17,12,10,12,7,7
0,0,0,0,0,0,0,0,11,8,13,18,6,7,2,3
0,0,0,0,0,0,0,0,9,9,11,7,10,3,0,4
0,0,0,0,0,0,0,0,6,1,10,6,8,6,4,3
0,0,0,0,0,0,0,0,11,6,9,9,1,6,4,3
