3,7,2,5,7,10,8,7,0,0,0,0,0,0,0,0
1,2,6,6,7,7,6,11,0,0,0,0,0,0,0,0
4,7,4,6,8,7,4,13,0,0,0,0,0,0,0,0
4,4,2,11,4,11,12,14,0,0,0,0,0,0,0,0
3,3,2,10,5,7,20,17,0,0,0,0,0,0,0,0
3,2,6,8,5,10,15,16,0,0,0,0,0,0,0,0
2,6,2,7,4,12,16,18,0,0,0,0,0,0,0,0
3,5,8,6,11,10,15,16,0,0,0,0,0,0,0,0
2,4,6,11,10,10,11,13,0,0,0,0,0,0,0,0
1,2,9,8,6,13,10,13,0,0,0,0,0,0,0,0
1,2,2,5,6,15,7,12,0,0,0,0,0,0,0,0
2,4,4,3,5,8,13,8,0,0,0,0,0,0,0,0
1,2,4,4,3,11,16,8,0,0,0,0,0,0,0,0
5,2,6,4,3,4,3,7,0,0,0,0,0,0,0,0
4,2,1,1,6,2,6,4,0,0,0,0,0,0,0,0
2,1,1,2,2,3,4,8,0,0,0,0,0,0,0,0
