243,298,356,468,492,712,711,790,0,0,0,0,0,0,0,0
212,309,314,440,550,686,760,794,0,0,0,0,0,0,0,0
205,320,333,442,508,655,782,751,0,0,0,0,0,0,0,0
246,313,331,423,463,564,776,832,0,0,0,0,0,0,0,0
233,258,354,465,515,657,743,859,0,0,0,0,0,0,0,0
213,298,354,396,545,707,828,969,0,0,0,0,0,0,0,0
210,273,335,425,537,719,890,1036,0,0,0,0,0,0,0,0
192,268,329,385,574,689,898,1123,0,0,0,0,0,0,0,0
205,212,249,456,497,682,867,1058,0,0,0,0,0,0,0,0
181,225,296,357,454,641,868,928,0,0,0,0,0,0,0,0
172,188,227,285,412,572,799,942,0,0,0,0,0,0,0,0
124,201,192,249,376,534,659,772,0,0,0,0,0,0,0,0
99,135,163,232,314,476,579,655,0,0,0,0,0,0,0,0
112,135,173,223,286,326,419,486,0,0,0,0,0,0,0,0
97,116,145,153,206,212,333,387,0,0,0,0,0,0,0,0
94,88,121,121,199,198,231,277,0,0,0,0,0,0,0,0
