EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
1,11,15,0.449102,3.648952,167,0
10,1,8,5.380917,4.197485,169,0
17,5,12,3.636696,3.490497,171,0
19,2,14,11.235119,2.901786,168,0
22,5,14,5.110294,1.636029,170,0
29,4,8,3.869048,2.901786,168,0
30,1,13,7.068452,2.343750,168,0
33,10,12,8.826754,4.331140,171,0
37,11,10,11.507353,3.088235,170,0
44,3,14,1.078869,1.041667,168,0
47,0,8,11.941964,4.036458,168,0
49,1,8,5.468750,3.887649,168,0
49,2,9,5.514706,3.768382,170,0
49,3,9,5.080409,2.138158,171,0
49,1,10,5.464181,3.435673,171,0
49,4,10,5.000000,2.426471,170,0
56,0,9,5.505952,1.804315,168,0
63,6,11,2.867647,2.113971,170,0
65,7,13,8.720930,1.507994,172,0
86,2,10,6.414474,2.247807,171,0
87,5,15,11.224112,2.773669,169,0
90,8,8,5.477941,3.051471,170,0
94,2,15,10.778443,2.301647,167,0
96,2,10,3.143275,2.887427,171,0
96,8,13,3.198099,2.814327,171,0
101,2,11,6.940407,1.835029,172,0
104,3,13,6.360294,2.297794,170,0
110,0,12,6.416420,3.901627,169,0
113,4,13,9.557749,3.636696,171,0
115,7,13,10.735294,3.308824,170,0
123,4,13,0.882353,3.731618,170,0
124,0,8,9.393713,2.769461,167,0
128,1,9,6.930147,1.893382,170,0
129,2,11,10.105994,2.668129,171,0
130,4,8,3.513314,2.163462,169,0
132,4,15,0.887574,3.531805,169,0
137,7,13,11.513158,3.179825,171,0
139,7,12,10.617690,3.709795,171,0
141,4,9,8.881579,2.101608,171,0
144,6,9,5.533088,3.841912,170,0
148,4,12,10.091912,2.867647,170,0
150,0,12,4.770710,5.066568,169,0
169,4,11,7.602339,4.513889,171,0
169,5,11,6.378676,0.808824,170,0
172,8,8,8.474265,4.283088,170,0
173,9,15,7.396450,3.032544,169,0
177,0,14,1.235030,4.172904,167,0
183,1,14,8.401946,2.544910,167,0
185,3,11,2.904412,2.977941,170,0
194,3,11,8.095760,1.736111,171,0
216,6,8,0.056689,1.360544,882,0
216,7,8,9.171598,3.143491,169,0
222,4,14,5.808824,1.066176,170,0
245,12,15,1.085329,2.395210,167,0
254,5,15,5.787722,2.884615,169,0
273,13,9,3.679734,1.645710,169,0
273,2,13,3.988971,3.014706,170,0
274,0,15,5.911145,1.487199,166,0
284,15,9,8.476796,2.339072,167,0
286,5,15,11.945266,2.995562,169,0
295,5,14,9.707840,1.460799,169,0
297,5,15,8.043639,2.366864,169,0
298,3,12,9.264706,2.830882,170,0
312,3,15,2.418155,2.641369,168,0
348,1,15,10.598645,2.051958,166,0
351,0,8,6.287202,2.418155,168,0
361,9,13,6.652047,1.260965,171,0
384,7,13,1.425439,4.148392,171,0
393,8,13,9.193314,2.198401,172,0
402,3,14,9.337798,3.552827,168,0
403,9,14,7.072368,2.028509,171,0
408,9,11,7.518382,3.308824,170,0
411,2,14,9.337798,4.371280,168,0
415,2,10,6.304825,2.997076,171,0
427,6,9,8.413462,2.163462,169,0
436,4,15,0.079449,2.482786,472,0
440,6,14,8.333333,2.887427,171,0
445,7,11,2.904412,2.683824,170,0
446,0,12,3.920118,3.716716,169,0
447,8,13,0.822368,4.221491,171,0
451,4,12,4.742647,2.297794,170,0
451,6,14,5.367647,3.768382,170,0
459,3,10,4.485294,1.819853,170,0
460,1,12,4.437870,2.662722,169,0
460,14,14,4.254518,2.127259,166,0
460,14,15,4.509731,3.293413,167,0
467,0,10,1.066176,3.308824,170,0
472,1,14,6.642964,5.052395,167,0
474,1,12,4.080882,3.272059,170,0
481,7,14,10.863971,2.426471,170,0
491,0,13,0.103558,2.631579,513,0
493,0,9,4.129464,2.864583,168,0
502,3,14,10.714286,1.990327,168,0
507,6,8,0.057115,1.574739,766,0
512,5,14,10.650888,2.810651,169,0
512,6,14,10.650888,2.847633,169,0
512,6,15,10.714286,2.529762,168,0
512,7,15,11.057692,4.271450,169,0
514,1,15,6.682982,2.089608,166,0
514,2,15,7.185629,3.611527,167,0
519,3,12,2.174708,1.260965,171,0
528,1,13,8.593750,2.641369,168,0
530,0,10,9.080882,4.540441,170,0
530,1,10,9.320175,4.605263,171,0
530,1,11,8.933824,3.161765,170,0
531,13,12,12.019231,0.554734,169,0
535,7,13,11.348684,3.033626,171,0
